time;item;state;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15
1777808953.8483222;plate;empty;0;235;27;481;0;39;0;38;0;169;99;1203;0;1425;1042;181
1777808958.3775105;plate;empty;0;985;729;1043;0;163;56;50;0;241;35;48;0;942;254;787
1777808965.4264371;plate;empty;0;1617;0;128;0;142;16;1503;0;42;41;97;0;145;357;69
1777808973.5161529;plate;empty;93;0;0;56;1011;0;5;572;902;0;56;362;109;0;885;20
1777808980.0784829;plate;empty;24;18;847;0;89;26;125;0;530;35;142;0;117;33;1000;0
1777808991.1548362;plate;empty;1175;0;1613;0;203;0;185;0;61;0;66;0;313;0;355;0
1777808994.188341;plate;empty;1166;0;1568;0;215;0;195;0;44;0;57;0;286;0;402;0
1777809024.916123;plate;empty;24;80;1334;0;61;55;197;0;172;253;715;0;64;1208;145;0
1777809043.5423977;plate;empty;81;1367;643;0;552;138;76;43;1723;53;101;406;133;7;500;2
1777809052.1226265;plate;empty;9;1338;0;141;107;105;0;267;717;60;0;1871;69;15;0;99
1777809056.6519842;plate;empty;0;89;73;1595;0;80;29;33;0;480;330;361;0;1145;1008;27
1777809071.7901962;plate;empty;0;1028;0;1671;0;115;0;40;0;121;0;3;0;1094;0;73
1777809082.857609;plate;empty;43;57;17;146;681;163;60;1938;6;165;136;396;0;1203;1159;38
1777809092.9418821;plate;empty;791;99;0;55;187;101;0;421;1344;505;0;116;83;789;0;0
1777809101.515074;plate;empty;758;33;379;0;235;33;16;0;1227;167;4;0;135;1035;0;0
1777809107.0775712;plate;empty;731;43;1559;0;210;44;145;0;327;177;43;0;139;1145;3;0
1777809112.1052785;plate;empty;569;36;1244;0;208;89;483;0;273;184;41;0;76;919;0;0
1777809123.685613;plate;empty;647;39;0;0;248;78;0;0;740;224;0;1;61;1201;0;0
1777809130.7479339;plate;empty;0;120;24;880;0;131;1;49;0;352;92;1185;0;1027;747;125
1777809135.79113;plate;empty;0;400;0;168;0;83;0;1064;0;188;0;1067;0;1027;0;96
1777809143.868061;plate;empty;30;102;503;0;128;0;51;39;1664;0;76;101;121;0;992;2
1777809155.4418662;plate;empty;807;0;1781;0;153;0;215;0;163;0;28;0;736;0;21;0
1777809202.296208;plate;empty;0;319;9;110;0;55;11;1315;0;151;83;776;0;1093;1205;61
1777809212.875667;plate;empty;956;0;1621;0;203;0;157;0;88;0;92;0;865;0;598;0
1777809219.4274132;plate;empty;445;86;231;0;189;167;48;0;247;372;0;0;939;852;0;0
1777809236.578822;plate;empty;48;4;5;43;215;33;37;621;995;107;177;228;136;519;1401;8
1777809240.100976;plate;empty;0;160;8;133;0;45;22;170;0;145;112;1880;0;1633;968;123
1777809246.1726573;plate;empty;0;275;144;1417;0;68;58;48;0;237;293;504;0;929;1031;87
1777809263.3005784;plate;empty;38;16;0;0;237;61;3;0;1235;175;77;0;97;1023;1248;0
1777809270.839679;plate;empty;61;0;1160;0;173;0;95;0;843;0;72;0;262;135;873;0
